,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,1078,7,14.0,15.620593692,16.0,17.0,85,3.02246118795
Saturation,1078,8,116.0,137.916512059,137.0,160.0,223,30.8824524343
Lightness,1078,80,142.0,153.183673469,154.0,167.0,204,20.1464865629
Luma,1078,61,114.0,125.928571429,128.0,141.0,184,21.1088595562
Blue Difference,1078,87,101.0,104.895176252,105.0,108.0,128,5.17460931426
Red Difference,1078,126,148.0,151.714285714,151.0,156.0,173,6.16381203881
