,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,2237,10,15.0,17.4067948145,17.0,19.0,93,5.22484251543
Saturation,2237,32,143.0,159.131873044,165.0,180.0,226,29.6632425056
Lightness,2237,80,130.0,145.660706303,146.0,162.0,206,21.769153761
Luma,2237,62,103.0,117.403218596,117.0,131.0,183,19.6921807676
Blue Difference,2237,74,94.0,100.345552079,100.0,107.0,145,8.75632189382
Red Difference,2237,74,147.0,152.443004023,153.0,158.0,172,8.98252371199
