,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,99,7,9.0,9.73737373737,10.0,11.0,15,1.52146831384
Saturation,99,123,156.5,165.202020202,165.0,177.0,202,15.9747147414
Lightness,99,116,141.0,151.181818182,151.0,161.5,189,15.0918826508
Luma,99,81,98.0,107.656565657,106.0,114.0,157,13.4563729156
Blue Difference,99,96,102.0,104.606060606,105.0,107.0,116,4.28956493242
Red Difference,99,149,163.5,166.131313131,167.0,170.0,175,5.45069074419
