,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,633,10,15.0,17.4407582938,17.0,18.0,42,3.74756970981
Saturation,633,32,112.0,131.396524487,130.0,150.0,213,28.6265233555
Lightness,633,85,123.0,135.139020537,136.0,147.0,196,18.9514956744
Luma,633,69,102.0,114.436018957,113.0,125.0,182,18.711227791
Blue Difference,633,84,106.0,108.499210111,110.0,112.0,120,5.65828526226
Red Difference,633,124,141.0,145.617693523,145.0,149.0,169,7.13152025126
