,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,988,11,16.0,18.3836032389,18.0,19.0,93,6.91603885865
Saturation,988,43,160.0,170.940283401,174.0,186.0,226,23.686367488
Lightness,988,80,135.0,149.36437247,151.0,165.0,205,21.9752535165
Luma,988,64,105.0,119.477732794,119.5,134.0,183,20.6654112171
Blue Difference,988,74,91.0,96.3674089069,96.0,101.0,145,8.60006770562
Red Difference,988,74,151.0,153.819838057,155.0,158.0,170,8.81764948747
