,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,369,5,9.0,10.0975609756,10.0,11.0,15,1.61168480991
Saturation,369,116,155.0,165.91598916,165.0,177.0,203,16.5537963178
Lightness,369,105,142.0,156.279132791,156.0,168.0,221,21.5737375048
Luma,369,69,98.0,111.029810298,109.0,123.0,184,18.6190356367
Blue Difference,369,90,101.0,103.390243902,104.0,106.0,114,4.4708646933
Red Difference,369,152,164.0,167.989159892,168.0,173.0,189,6.45391346574
