,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,616,10,14.0,15.8051948052,16.0,17.0,22,1.97246606172
Saturation,616,85,156.0,168.693181818,168.5,181.0,224,18.6517560959
Lightness,616,98,136.0,150.532467532,151.0,166.0,206,20.4412108669
Luma,616,62,103.0,117.125,117.0,132.0,169,18.6405408884
Blue Difference,616,88,94.0,98.3474025974,98.0,102.0,113,5.40557309878
Red Difference,616,141,153.0,157.248376623,157.0,162.0,172,6.48387089478
