,Count,Min,1st Quart,Mean,Median,3rd Quart,Max,Std Dev
Hue,1794,3,10.0,23.1683389075,13.0,15.0,156,30.2828100593
Saturation,1794,3,53.0,98.2062430323,97.0,135.0,228,53.092112432
Lightness,1794,52,94.0,118.852285396,115.0,141.0,218,31.9353431211
Luma,1794,48,78.0,102.552954292,98.0,123.0,209,31.7500118009
Blue Difference,1794,93,112.0,117.799331104,118.0,124.0,151,7.54059098301
Red Difference,1794,77,134.0,141.262541806,142.0,149.0,164,9.27570227126
